RetentionTime	Intensity
0.00334	142191.796875
0.00896666666666667	141041
0.0165433333333333	143645.03125
0.0241033333333333	149370.3125
0.0316766666666667	148298.46875
0.0392766666666667	152022.359375
0.0468016666666667	159177.859375
0.0543783333333333	173443.53125
0.0619416666666667	148400.21875
0.0695133333333333	129198.109375
0.077115	136041.5625
0.08465	146517.4375
0.0922133333333333	162837.6875
0.099785	145017.1875
0.107351666666667	160230.953125
0.114953333333333	135606.125
0.12248	146879.78125
0.130046666666667	171469.09375
0.141018333333333	161519.96875
0.146713333333333	157290.609375
0.15431	186092.4375
0.165225	143183.484375
0.171003333333333	165209.328125
0.178488333333333	174467.71875
0.18604	156323.78125
0.193645	186742.75
0.20455	190794.546875
0.210235	164317.71875
0.2178	172477.53125
0.228821666666667	177865.65625
0.234525	185138.03125
0.242065	174274.25
0.249633333333333	194919.625
0.257225	185727.59375
0.26483	180587.25
0.272343333333333	199958.3125
0.286685	218763.546875
0.292415	188861.328125
0.30003	213014.375
0.307573333333333	202414.53125
0.315123333333333	192126.28125
0.322701666666667	214227.21875
0.330256666666667	222583.640625
0.338003333333333	256428.375
0.345373333333333	260222.0625
0.352993333333333	273648.125
0.360543333333333	239705.21875
0.371545	220718.6875
0.37734	229574.171875
0.384898333333333	230109.28125
0.39609	254086.859375
0.40193	246102.1875
0.409453333333333	219900.96875
0.416995	260625.53125
0.424596666666667	253219.421875
0.435503333333333	322404.3125
0.44131	366870.28125
0.44892	399038.03125
0.459805	393972
0.465615	417416.75
0.473201666666667	361290.15625
0.480726666666667	442145.1875
0.491681666666667	485022.53125
0.5009	460108.8125
0.510205	439740.0625
0.515995	337519.03125
0.523585	234525.84375
0.534478333333333	219400.171875
0.54256	251269.734375
0.548433333333333	213305.125
0.55594	204480.71875
0.563828333333333	206643.0625
0.57102	174314.390625
0.57868	522112.53125
0.586195	191463.265625
0.59374	203889.3125
0.601373333333333	199122.125
0.612341666666667	180019.796875
0.618115	188893.53125
0.631966666666667	175082.15625
0.637781666666667	177400.28125
0.648726666666667	173228.1875
0.65453	171025.59375
0.662061666666667	168622.546875
0.67353	175764.6875
0.679255	154584.390625
0.690603333333333	187088.59375
0.696681666666667	170478.859375
0.71102	180188.625
0.723631666666667	163218.8125
0.733073333333333	153391.53125
0.738893333333333	158908.984375
0.749828333333333	167612.484375
0.759005	178359.921875
0.767728333333333	166449.625
0.773536666666667	177247.4375
0.781106666666667	176252.671875
0.788673333333333	160635
0.796305	152741.171875
0.8038	153242.390625
0.811326666666667	159590.171875
0.818956666666667	155190.359375
0.826476666666667	146210.515625
0.837661666666667	129476.3984375
0.843535	175426.625
0.850973333333333	149269.4375
0.862205	173635.8125
0.871361666666667	148181.5625
0.877125	140910.71875
0.884671666666667	135292.546875
0.892293333333333	153106
0.899806666666667	128139.109375
0.907371666666667	137607.859375
0.914945	143816.625
0.925908333333333	136650.078125
0.93165	124604.34375
0.939181666666667	126519.3125
0.946765	136342.140625
0.95434	146848.515625
0.961945	125924.421875
0.969481666666667	112400.3828125
0.980416666666667	129080.2890625
0.986131666666667	121267.8671875
0.993693333333333	136442.890625
1.00130666666667	128023.4765625
1.01231333333333	125703.265625
1.02143166666667	118229.8671875
1.02715333333333	101742.9609375
1.03477666666667	113873.46875
1.04230166666667	132629.203125
1.04987833333333	147165.78125
1.057455	141410.546875
1.06501833333333	765530.8125
1.07261666666667	120687.5859375
1.08014333333333	106680.625
1.087715	115037.40625
1.09528833333333	143320.75
1.10285	110194.6484375
1.110455	130206.90625
1.11801833333333	112525.0703125
1.12558333333333	119360.53125
1.13313	141331.890625
1.14068666666667	119067.5390625
1.14830166666667	133839.375
1.15582333333333	138350.703125
1.17015166666667	187151.140625
1.1759	149743.453125
1.18360666666667	155130.03125
1.194645	148747.84375
1.20036833333333	155603.28125
1.20796166666667	164971.734375
1.218955	232988.421875
1.22469333333333	207515.015625
1.23568	218639.9375
1.24143833333333	227306.625
1.24901	211636.03125
1.25661666666667	160806.53125
1.26427833333333	242366.8125
1.27431666666667	247781.78125
1.280085	209569.046875
1.291265	190638.421875
1.2973	252443.734375
1.30458166666667	285892.125
